time,open,high,low,close,tick_volume,spread,real_volume
2011-07-11,1.4202,1.42266,1.39858,1.4037600000000001,91689,7,0
2011-07-12,1.40377,1.4052799999999999,1.38371,1.39692,108574,7,0
2011-07-13,1.39692,1.42386,1.39621,1.42289,100600,7,0
2011-07-14,1.42289,1.42808,1.41156,1.41558,94223,7,0
2011-07-15,1.41555,1.4197899999999999,1.40919,1.41566,77058,7,0
2011-07-17,1.41208,1.41339,1.4117,1.41215,2558,12,0
2011-07-18,1.4121299999999999,1.41305,1.40138,1.41114,154185,8,0
2011-07-19,1.41109,1.4216,1.40687,1.41704,110292,7,0
2011-07-20,1.41702,1.42695,1.41331,1.42673,74739,7,0
2011-07-21,1.42675,1.44375,1.41388,1.44171,87085,7,0
2011-07-22,1.44169,1.44369,1.43241,1.4358,71888,7,0
2011-07-24,1.43997,1.43997,1.43654,1.43864,2538,12,0
2011-07-25,1.43862,1.4405999999999999,1.43247,1.43685,73951,5,0
2011-07-26,1.43683,1.45244,1.43571,1.45047,78896,6,0
2011-07-27,1.45047,1.4535,1.4339,1.4371399999999999,77457,6,7995336000
2011-07-28,1.4371399999999999,1.4399899999999999,1.42544,1.43311,88189,7,34084025000
2011-07-29,1.43308,1.44128,1.42293,1.43945,81155,7,0
2011-07-31,1.43607,1.4374500000000001,1.43465,1.43614,3024,13,0
2011-08-01,1.43613,1.44526,1.41843,1.4262299999999999,85723,7,0
2011-08-02,1.42625,1.42822,1.4151,1.41736,86326,7,0
2011-08-03,1.41737,1.43664,1.41425,1.43444,88413,7,0
2011-08-04,1.43446,1.43671,1.40585,1.4065400000000001,107327,8,46180586000
2011-08-05,1.40653,1.42972,1.40553,1.42804,105489,7,0
2011-08-07,1.43705,1.43705,1.42883,1.4291800000000001,4412,15,0
2011-08-08,1.42916,1.44006,1.41303,1.41753,118142,7,0
2011-08-09,1.4175200000000001,1.43967,1.41521,1.43807,128568,6,0
2011-08-10,1.43808,1.44006,1.41226,1.41246,108814,4,0
